t,S_as_x,S_as_y,S_as_z,S_as_vx,S_as_vy,S_as_vz,S_meas_x,S_meas_y,S_meas_z,S_meas_vx,S_meas_vy,S_meas_vz,T_x,T_y,T_z,T_vx,T_vy,T_vz,dist_ue,mode,rdot
7.505,24.045,19.867,-15.758,-9.896,-4.345,3.278,24.045,19.867,-15.758,-10.896,-5.345,3.278,7.262,14.920,-9.888,-5.685,-4.621,0.420,18.831,PURSUIT,-4.665
7.561,23.505,19.626,-15.579,-10.123,-4.559,3.319,23.505,19.626,-15.579,-11.123,-5.559,3.319,6.952,14.649,-9.867,-5.625,-4.752,0.407,18.543,PURSUIT,-4.951
7.614,22.952,19.374,-15.399,-10.354,-4.774,3.350,22.952,19.374,-15.399,-11.354,-5.774,3.350,6.680,14.401,-9.848,-5.343,-4.682,0.379,18.268,PURSUIT,-5.503
7.669,22.387,19.111,-15.217,-10.568,-4.972,3.403,22.387,19.111,-15.217,-11.568,-5.972,3.403,6.382,14.119,-9.828,-5.395,-4.918,0.373,17.942,PURSUIT,-5.644
7.723,21.811,18.837,-15.032,-10.776,-5.170,3.445,21.811,18.837,-15.032,-11.776,-6.170,3.445,6.121,13.863,-9.810,-5.125,-4.844,0.347,17.633,PURSUIT,-6.165
7.777,21.224,18.553,-14.845,-10.972,-5.364,3.475,21.224,18.553,-14.845,-11.972,-6.364,3.475,5.835,13.571,-9.792,-5.224,-5.137,0.345,17.270,PURSUIT,-6.220
7.832,20.593,18.242,-14.646,-11.158,-5.566,3.496,20.593,18.242,-14.646,-12.158,-6.566,3.496,5.585,13.306,-9.776,-4.859,-4.948,0.315,16.854,PURSUIT,-6.839
7.885,20.020,17.953,-14.469,-11.319,-5.765,3.462,20.020,17.953,-14.469,-12.319,-6.765,3.462,5.312,13.005,-9.759,-5.023,-5.327,0.318,16.535,PURSUIT,-6.757
7.938,19.404,17.636,-14.283,-11.470,-5.975,3.411,19.404,17.636,-14.283,-12.470,-6.975,3.411,5.072,12.732,-9.745,-4.753,-5.223,0.295,16.168,PURSUIT,-7.216
7.993,18.782,17.308,-14.100,-11.591,-6.175,3.367,18.782,17.308,-14.100,-12.591,-7.175,3.367,4.825,12.439,-9.730,-4.640,-5.294,0.281,15.767,PURSUIT,-7.447
8.048,18.118,16.950,-13.909,-11.696,-6.392,3.296,18.118,16.950,-13.909,-12.696,-7.392,3.296,4.570,12.125,-9.715,-4.650,-5.519,0.276,15.331,PURSUIT,-7.499
8.104,17.484,16.599,-13.734,-11.784,-6.613,3.178,17.484,16.599,-13.734,-12.784,-7.613,3.178,4.322,11.806,-9.701,-4.516,-5.572,0.263,14.884,PURSUIT,-7.711
8.159,16.810,16.215,-13.557,-11.842,-6.836,3.071,16.810,16.215,-13.557,-12.842,-7.836,3.071,4.093,11.500,-9.688,-4.351,-5.583,0.248,14.452,PURSUIT,-7.948
8.214,16.170,15.841,-13.393,-11.870,-7.033,2.994,16.170,15.841,-13.393,-12.870,-8.033,2.994,3.858,11.173,-9.676,-4.325,-5.782,0.241,13.987,PURSUIT,-7.965
8.266,15.528,15.455,-13.234,-11.887,-7.234,2.892,15.528,15.455,-13.234,-12.887,-8.234,2.892,3.665,10.894,-9.665,-3.988,-5.532,0.218,13.506,PURSUIT,-8.409
8.319,14.922,15.082,-13.089,-11.890,-7.419,2.786,14.922,15.082,-13.089,-12.890,-8.419,2.786,3.443,10.560,-9.654,-4.103,-5.939,0.219,13.111,PURSUIT,-8.190
8.377,14.244,14.653,-12.935,-11.891,-7.650,2.583,14.244,14.653,-12.935,-12.891,-8.650,2.583,3.238,10.239,-9.643,-3.825,-5.753,0.201,12.653,PURSUIT,-8.531
8.432,13.567,14.211,-12.791,-11.859,-7.832,2.509,13.567,14.211,-12.791,-12.859,-8.832,2.509,3.051,9.933,-9.634,-3.625,-5.676,0.187,12.090,PURSUIT,-8.753
8.484,12.964,13.808,-12.664,-11.820,-7.984,2.461,12.964,13.808,-12.664,-12.820,-8.984,2.461,2.848,9.587,-9.624,-3.734,-6.115,0.189,11.723,PURSUIT,-8.492
8.539,12.326,13.372,-12.533,-11.778,-8.146,2.377,12.326,13.372,-12.533,-12.778,-9.146,2.377,2.663,9.256,-9.615,-3.563,-6.083,0.177,11.252,PURSUIT,-8.650
8.593,11.692,12.928,-12.407,-11.733,-8.307,2.271,11.692,12.928,-12.407,-12.733,-9.307,2.271,2.494,8.941,-9.607,-3.355,-5.973,0.164,10.805,PURSUIT,-8.864
8.648,11.024,12.449,-12.282,-11.683,-8.494,2.082,11.024,12.449,-12.282,-12.683,-9.494,2.082,2.311,8.585,-9.598,-3.317,-6.183,0.160,10.219,PURSUIT,-8.784
8.700,10.430,12.013,-12.178,-11.626,-8.628,2.018,10.430,12.013,-12.178,-12.626,-9.628,2.018,2.154,8.264,-9.591,-3.177,-6.194,0.150,9.851,PURSUIT,-8.879
8.752,9.804,11.543,-12.071,-11.560,-8.761,1.965,9.804,11.543,-12.071,-12.560,-9.761,1.965,1.994,7.921,-9.583,-3.119,-6.375,0.146,9.372,PURSUIT,-8.826
8.807,9.182,11.067,-11.963,-11.480,-8.856,2.028,9.182,11.067,-11.963,-12.480,-9.856,2.028,1.840,7.576,-9.576,-2.974,-6.372,0.137,8.890,PURSUIT,-8.927
8.859,8.598,10.614,-11.859,-11.386,-8.933,2.074,8.598,10.614,-11.859,-12.386,-9.933,2.074,1.710,7.266,-9.570,-2.728,-6.119,0.124,8.459,CAPTURE,-9.198
8.913,7.987,10.129,-11.745,-11.270,-8.987,2.190,7.987,10.129,-11.745,-12.270,-9.987,2.190,1.561,6.896,-9.564,-2.746,-6.500,0.123,7.824,CAPTURE,-8.957
8.967,7.381,9.643,-11.620,-11.168,-9.020,2.447,7.381,9.643,-11.620,-12.168,-10.020,2.447,1.427,6.543,-9.558,-2.620,-6.537,0.116,7.378,CAPTURE,-9.028
9.020,6.780,9.154,-11.485,-11.066,-9.108,2.505,6.780,9.154,-11.485,-12.066,-10.108,2.505,1.300,6.188,-9.553,-2.516,-6.638,0.110,6.970,CAPTURE,-9.014
9.074,6.186,8.658,-11.354,-10.954,-9.281,2.297,6.186,8.658,-11.354,-11.954,-10.281,2.297,1.179,5.831,-9.547,-2.369,-6.616,0.103,6.480,CAPTURE,-9.040
9.128,5.598,8.152,-11.236,-10.826,-9.481,2.046,5.598,8.152,-11.236,-11.826,-10.481,2.046,1.060,5.451,-9.542,-2.299,-6.842,0.099,5.969,CAPTURE,-8.858
9.183,5.017,7.635,-11.131,-10.664,-9.666,1.851,5.017,7.635,-11.131,-11.664,-10.666,1.851,0.959,5.109,-9.538,-2.062,-6.514,0.088,5.518,CAPTURE,-9.066
9.236,4.447,7.108,-11.037,-10.426,-9.854,1.593,4.447,7.108,-11.037,-11.426,-10.854,1.593,0.848,4.705,-9.533,-2.061,-7.018,0.088,4.999,CAPTURE,-8.553
9.288,3.922,6.601,-10.962,-10.154,-10.013,1.349,3.922,6.601,-10.962,-11.154,-11.013,1.349,0.771,4.401,-9.530,-1.778,-6.449,0.076,4.624,CAPTURE,-8.792
9.343,3.383,6.057,-10.897,-9.796,-10.149,1.061,3.383,6.057,-10.897,-10.796,-11.149,1.061,0.680,4.014,-9.526,-1.723,-6.769,0.074,4.171,CAPTURE,-8.231
9.397,2.865,5.505,-10.847,-9.371,-10.257,0.754,2.865,5.505,-10.847,-10.371,-11.257,0.754,0.597,3.625,-9.522,-1.637,-7.003,0.071,3.753,CAPTURE,-7.605
9.454,2.346,4.919,-10.816,-8.824,-10.316,0.332,2.346,4.919,-10.816,-9.824,-11.316,0.332,0.521,3.235,-9.519,-1.473,-6.886,0.065,3.383,CAPTURE,-6.974
9.509,1.860,4.330,-10.810,-8.218,-10.328,-0.126,1.860,4.330,-10.810,-9.218,-11.328,-0.126,0.457,2.864,-9.516,-1.325,-6.835,0.059,3.089,CAPTURE,-6.048
9.563,1.432,3.773,-10.828,-7.632,-10.303,-0.533,1.432,3.773,-10.828,-8.632,-11.303,-0.533,0.403,2.513,-9.514,-1.163,-6.657,0.053,2.872,CAPTURE,-5.013
9.617,1.036,3.218,-10.867,-7.045,-10.232,-0.916,1.036,3.218,-10.867,-8.045,-11.232,-0.916,0.352,2.140,-9.511,-1.050,-6.783,0.050,2.712,CAPTURE,-3.495
9.671,0.671,2.669,-10.926,-6.470,-10.114,-1.261,0.671,2.669,-10.926,-7.470,-11.114,-1.261,0.311,1.787,-9.509,-0.909,-6.677,0.045,2.598,CAPTURE,-1.865
9.725,0.336,2.127,-11.001,-5.966,-9.962,-1.482,0.336,2.127,-11.001,-6.966,-10.962,-1.482,0.274,1.412,-9.507,-0.794,-6.803,0.042,2.611,CAPTURE,-0.181
9.779,0.042,1.622,-11.079,-5.577,-9.808,-1.542,0.042,1.622,-11.079,-6.577,-10.808,-1.542,0.242,0.995,-9.505,-0.699,-7.283,0.041,2.657,CAPTURE,1.103
9.833,-0.265,1.068,-11.166,-5.205,-9.637,-1.510,-0.265,1.068,-11.166,-6.205,-10.637,-1.510,0.219,0.599,-9.503,-0.558,-7.288,0.037,2.747,CAPTURE,2.072
9.886,-0.523,0.581,-11.241,-4.914,-9.494,-1.413,-0.523,0.581,-11.241,-5.914,-10.494,-1.413,0.207,0.286,-9.502,-0.394,-6.598,0.031,2.841,CAPTURE,2.595
9.940,-0.780,0.072,-11.314,-4.616,-9.352,-1.296,-0.780,0.072,-11.314,-5.616,-10.352,-1.296,0.199,-0.091,-9.500,-0.273,-6.801,0.029,2.984,CAPTURE,3.018
9.995,-1.018,-0.428,-11.386,-4.157,-9.137,-1.430,-1.018,-0.428,-11.386,-5.157,-10.137,-1.430,0.197,-0.446,-9.499,-0.146,-6.631,0.025,3.108,CAPTURE,3.375
10.047,-1.231,-0.916,-11.465,-3.764,-8.935,-1.463,-1.231,-0.916,-11.465,-4.764,-9.935,-1.463,0.204,-0.864,-9.498,-0.007,-7.279,0.025,3.288,CAPTURE,3.450
